Sample,NPOC (mg/L),TN (mg/L),NPOC (uM),TN (uM)
T13 06/04/24 12:00 ,1.44605,0.15301,120.3968128,10.92405777
T14 06/04/24 12:00,1.25505,0.1429,104.4943259,10.20226035
T15 06/04/24 12:00 ,1.08005,0.14916,89.92398445,10.64918932
T16 06/04/24 12:00 ,1.11805,0.14529,93.08783002,10.37289297
F1_IN 06/06/24 12:00 ,1.87005,0.17141,155.6986687,12.23771481
F2_IN 06/06/24 12:00 ,1.97605,0.1784,164.5241326,12.73676169
T1 06/06/24 12:00 ,2.01605,0.1951,167.8544964,13.92904824
T2 06/06/24 12:00 ,2.54805,0.6732,212.1483344,48.06271284
T3 06/06/24 12:00 ,1.60205,0.16037,133.3852315,11.44952059
T4 06/06/24 12:00 ,1.87205,0.1809,155.8651869,12.9152477
T5 06/06/24 12:00 ,2.44205,0.6728,203.3228704,48.03415508
T6 06/06/24 12:00 ,1.86005,0.16493,154.8660777,11.77507907
T7 06/06/24 12:00 ,1.92505,0.1651,160.2779189,11.78721612
T8 06/06/24 12:00 ,1.92605,0.228,160.3611779,16.27792414
T9 06/06/24 12:00 ,2.03505,0.1925,169.4364192,13.74342279
T10 06/06/24 12:00 ,1.77605,0.1573,147.8723139,11.23033977
T11 06/06/24 12:00,2.00005,0.2388,166.5223509,17.0489837
T12 06/06/24 12:00 ,1.76405,0.16299,146.8732047,11.63657393
T13 06/06/24 12:00,1.85805,0.1776,154.6995596,12.67964617
T14 06/06/24 12:00 ,2.09305,0.4273,174.2654466,30.50682887
T15 06/06/24 12:00 ,1.86305,0.16441,155.115855,11.73795398
T16 06/06/24 12:00 ,1.86905,0.179,155.6154096,12.77959834
