DATE,CORAL_NUM,GENOTYPE,RUN_NUM,umol.sec.corr,CHAMBER,R,R_uncorr,NP,NP_uncorr,GP,GP_uncorr
6/27/24,14,B,1,-0.012504633,5,0.5174635390194469,0.6187232946264171,NA,0.2995887158306875,NA,0.9183120104571044
6/27/24,51,F,1,-0.01468917,3,0.9789651331944124,1.142044136813121,NA,2.481562888473703,NA,3.623607025286824
6/27/24,78,L,1,-0.010884783,8,0.7746856972760578,0.9488398462761016,NA,2.644291540832272,NA,3.5931313871083734
6/27/24,11,M,1,-0.014137252,7,0.6559079810162786,0.7694367647923409,NA,2.2300341553562513,NA,2.999470920148592
6/27/24,43,N,1,-0.013128159,1,0.9002415156522171,1.0680381566813997,NA,1.0719890925336788,NA,2.1400272492150787
6/27/24,148,O,1,-0.011095729,2,1.112624577107611,1.3579942557092892,NA,2.7890254755784443,NA,4.147019731287734
6/27/24,202,X,1,-0.014535869,6,0.7178934718314155,0.838743592,NA,1.3832213084920888,NA,2.221964900820694
6/27/24,203,X,1,-0.014211322,9,1.3212421272067671,1.5487392996572542,NA,3.676894285720688,NA,5.225633585377942
6/27/24,106,D,2,-0.016525506,7,1.1871768604712007,1.4367147176091593,2.4392426562707974,2.123026667266016,3.626419516741998,3.559741384875175
6/27/24,33,F,2,-0.020079401,9,1.915090069482236,2.2463845629299946,4.682486862379066,4.262668334244861,6.597576931861302,6.509052897174856
6/27/24,68,F,2,-0.014527979,4,1.0628496247257828,1.316971698044972,1.6236178202997535,1.3015926828547888,2.6864674450255364,2.6185643808997607
6/27/24,102,I,2,-0.020557024,6,0.7566490261058428,0.8845017571280249,2.363987679397075,2.201971870449938,3.1206367055029176,3.0864736275779623
6/27/24,76,K,2,-0.02200432,1,1.3246126910484095,1.5337139873978902,2.1745408890288664,1.909566371792481,3.499153580077276,3.4432803591903713
6/27/24,53,L,2,-0.029267551,10,1.2041352980391882,1.347045977424188,2.361969850300622,2.1808725116467564,3.566105148,3.5279184890709443
6/27/24,114,S,2,-0.033001664,8,1.482766549131345,1.638834135886449,1.8697547701416752,1.671984913241483,3.3525213192730208,3.3108190491279323
6/27/24,1,T,2,-0.020128988,2,0.7813351310947251,0.9161665775357876,1.097325999798739,0.9264667174665424,1.878661130893464,1.842633295
6/27/24,101,U,2,-0.014349688,3,0.7503897972304606,0.9320334528698312,1.8245141835740435,1.594334166508768,2.5749039808045038,2.5263676193785995
6/28/24,37,C,3,-0.02989441,5,1.5248276387535833,1.5840060821685604,1.4209698292175312,1.3592090537262642,2.9457974679711145,2.9432151358948246
6/28/24,108,F,3,-0.017694917,2,1.1066834437857913,1.1792451792266372,1.4169336770537944,1.3412056113391662,2.5236171208395857,2.5204507905658033
6/28/24,90,G,3,-0.01611097,1,1.541026370042373,1.652000348922475,2.4966024525222936,2.3807859727456053,4.037628822564667,4.032786322
6/28/24,38,I,3,-0.026743715,7,1.1813376401661122,1.232586601788796,2.348879059863399,2.2953937799153614,3.530216700029511,3.5279803817041575
6/28/24,71,M,3,-0.01716678,9,2.128778761827318,2.2726501603990874,3.6225614872310583,3.472412063994339,5.7513402490583765,5.745062224393427
6/28/24,140,V,3,-0.01773899,10,1.2836147251661023,1.3675681788317382,2.259633154659898,2.1720162775615797,3.5432478798260005,3.539584456393318
6/28/24,115,W,3,-0.034793631,8,1.504873730129613,1.5550540094028145,2.3048738968727975,2.252503932685856,3.80974762700241,3.8075579420886703
6/28/24,36,W,3,-0.023479195,3,1.6417078540203192,1.7228311247307102,1.3035231297075869,1.2188599344571067,2.945230983727906,2.941691059187817
6/28/24,208,X,3,-0.015249539,4,1.0892249367706666,1.1720942289995997,2.0126610652699957,1.9261756584710732,3.1018860020406622,3.0982698874706727
6/28/24,16,B,4,-0.015159381,2,0.9016583513506272,1.0873499855484077,1.6716086377804589,1.5151927116769233,2.573266989131086,2.602542697225331
6/28/24,41,B,4,-0.038974007,10,1.0541550761506746,1.138597607475473,1.1379707548105031,1.066841235181056,2.192125830961178,2.205438842656529
6/28/24,156,H,4,-0.025876308,1,1.355288171466163,1.5188045028104764,1.856486350717913,1.7187496211621178,3.211774522184077,3.2375541239725942
6/28/24,27,I,4,-0.028697815,9,1.1806950536913157,1.3091410894138658,2.108443990728647,2.000248456133526,3.2891390444199624,3.3093895455473916
6/28/24,110,K,4,-0.030993914,5,1.0167558297428214,1.1191728287490992,1.742687057361484,1.656416882522863,2.7594428871043055,2.775589711271962
6/28/24,59,K,4,-0.014657106,3,0.6134208189823724,0.7440806470208038,1.8520412638774473,1.7419809582775077,2.465462083,2.4860616052983113
6/28/24,25,M,4,-0.012512874,4,1.2471918606237469,1.5583692231793618,2.8567567684426645,2.5946388999836554,4.103948629066411,4.153008123163017
6/28/24,137,P,4,-0.010772279,8,1.0033845311274592,1.294182658947689,1.073921893585187,0.828970317,2.0773064247126465,2.123152976396016
6/28/24,13,U,4,-0.020727369,6,1.2365280188247727,1.4227759979352357,2.4110623071613086,2.254177748180874,3.647590325986082,3.6769537461161095
6/28/24,113,C,5,-0.022126598,1,1.2581801608238103,1.4309073678051418,2.057354562017634,1.921411852819364,3.315534722841444,3.352319220624506
6/28/24,118,N,5,-0.036864271,9,2.246314341530684,2.4314105178187373,-0.172242275,-0.317919821,2.0740720663737457,2.113490696509164
6/28/24,149,O,5,-0.017236349,3,1.5228454362439452,1.7912210852699249,2.3052275470669334,2.094005971444634,3.828072983310878,3.885227056714559
