colony_id,sample,diameter.cm,weight1.g,weight2.g,wax_weight.g
1B,standard,7.2,139.186,143.372,4.186
2B,standard,6.1,98.854,102.811,3.957
3B,standard,4.8,46.356,48.76,2.404
4B,standard,3,12.302,13.274,0.972
5B,standard,2.3,7.03,7.737,0.707
6B,standard,1.7,2.746,3.138,0.392
