Sample ID,Volume (mL),Burned pan (g),Burned pan + dry residue (g),Dry tissue biomass (g),Burned pan + burned residue (g),AFDW (g/mL)
117_b,1,0.9629,0.9929,0.03,0.9872,0.0057
125_a,1,0.9661,0.9995,0.0334,0.9911,0.0084
125_b,1,0.9701,1.0048,0.0347,0.9956,0.0092
13_a,1,0.9954,1.0423,0.0469,1.031,0.0113
13_b,1,0.9784,1.0271,0.0487,1.01,0.0171
134_a,1,0.9625,0.9888,0.0263,0.9844,0.0044
134_b,1,0.968,0.9948,0.0268,0.9895,0.0053
139_a,1,0.9651,0.9905,0.0254,0.985,0.0055
139_b,1,0.9788,1.0048,0.026,0.999,0.0058
140_a,1,0.9599,0.9878,0.0279,0.9828,0.005
140_b,1,0.9777,1.0063,0.0286,1.0016,0.0047
141_a,1,0.9472,0.9778,0.0306,0.9715,0.0063
141_b,1,0.9711,1.0031,0.032,0.9951,0.008
145_a,1,0.9692,1.002,0.0328,0.9949,0.0071
145_b,1,0.9814,1.0139,0.0325,1.0076,0.0063
146_a,1,0.9846,1.0162,0.0316,1.0073,0.0089
146_b,1,0.9754,1.0081,0.0327,0.9988,0.0093
15_a,1,0.9693,0.9963,0.027,0.99,0.0063
15_b,1,0.9691,0.9984,0.0293,0.9912,0.0072
155_a,1,0.9463,0.9825,0.0362,0.9728,0.0097
155_b,1,0.959,0.9965,0.0375,0.9867,0.0098
18_a,1,0.9596,0.99,0.0304,0.9818,0.0082
18_b,1,0.9863,1.0183,0.032,1.0105,0.0078
203_a,1,0.9761,1.005,0.0289,0.9985,0.0065
203_b,1,0.9657,0.9966,0.0309,0.9892,0.0074
206_a,1,0.9833,1.0099,0.0266,1.0037,0.0062
206_b,1,0.988,1.0165,0.0285,1.009,0.0075
207_a,1,0.9649,0.9889,0.024,0.9844,0.0045
207_b,1,0.9713,0.997,0.0257,0.9923,0.0047
208_a,1,0.9548,1.0044,0.0496,0.9911,0.0133
208_b,1,0.9683,1.0203,0.052,1.0061,0.0142
210_a,1,0.9664,0.9953,0.0289,0.9893,0.006
210_b,1,0.9774,1.0057,0.0283,1.0003,0.0054
36_a,1,0.9607,0.9983,0.0376,0.989,0.0093
36_b,1,0.9608,1.0001,0.0393,0.9896,0.0105
64_a,1,0.9724,1.006,0.0336,0.9979,0.0081
64_b,1,0.9622,0.9957,0.0335,0.9881,0.0076
71_a,1,0.9881,1.0316,0.0435,1.0211,0.0105
71_b,1,0.9834,1.0282,0.0448,1.0174,0.0108
90_a,1,0.9655,0.9954,0.0299,0.9887,0.0067
90_b,1,0.969,1.0007,0.0317,0.9934,0.0073
28_a,1,0.9777,0.9977,0.02,0.9943,0.0034
28_b,1,0.9894,1.0099,0.0205,1.0059,0.004
147_a,1,0.9719,1.0121,0.0402,1.0001,0.012
147_b,1,0.9686,1.0101,0.0415,0.9971,0.013
135_a,1,0.9734,1.0007,0.0273,0.9935,0.0072
135_b,1,0.9774,1.0043,0.0269,0.9978,0.0065
40_a,1,0.9741,1.0051,0.031,0.9981,0.007
40_b,1,0.9697,1.002,0.0323,0.9942,0.0078
33_a,1,0.9723,0.988,0.0157,0.9838,0.0042
33_b,1,0.9828,0.9982,0.0154,0.9948,0.0034
115_a,1,0.9833,1.0159,0.0326,1.0091,0.0068
115_b,1,0.9784,1.0094,0.031,1.0033,0.0061
27_a,1,0.9702,0.9961,0.0259,0.9912,0.0049
27_b,1,0.9723,0.9978,0.0255,0.9927,0.0051
151_a,1,0.9748,1.0101,0.0353,1.0027,0.0074
151_b,1,0.9706,1.006,0.0354,0.998,0.008
11_a,1,0.9752,1.005,0.0298,0.9992,0.0058
11_b,1,0.9672,0.9977,0.0305,0.9918,0.0059
204_a,1,0.9677,0.9911,0.0234,0.9855,0.0056
204_b,1,0.9679,0.9924,0.0245,0.9864,0.006
118_a,1,0.9802,1.0173,0.0371,1.0082,0.0091
118_b,1,0.9716,1.0085,0.0369,0.9989,0.0096
159_a,1,0.9605,1,0.0395,0.9902,0.0098
159_b,1,0.9723,1.013,0.0407,1.0022,0.0108
137_a,1,0.9682,1.0049,0.0367,0.9961,0.0088
137_b,1,0.9661,1.0025,0.0364,0.9936,0.0089
38_a,1,0.9682,1.0035,0.0353,0.9936,0.0099
38_b,1,0.9706,1.0067,0.0361,0.9959,0.0108
37_a,1,0.9662,0.9946,0.0284,0.9879,0.0067
