TANK_NUM,TREATMENT,avg_endos,avg_chl,avg_biomass,avg_R,avg_GP,avg_NEC,avg_NEP
1,Algae_Dom,0.2592914478793769,1.9990243995194974,4.677250629842607,1.085274763268853,2.864439381084554,-0.45387977527467327,1.854818446281256
2,Rubble_Dom,0.6838784727820384,3.0581215492398988,15.722960191364987,1.2858263654239082,3.6925558622831076,0.3485063846293334,1.00986907012948
3,Control,0.4725760696764534,1.407461307522532,11.290330711349647,0.8016046561320971,2.0510533509371482,-0.01404778976533373,-0.14337634552002418
4,Algae_Dom,0.41396778745379365,2.290871231042979,9.826110921557968,1.1871618124151921,2.784391503647097,0.06223084206814869,0.7430588453070825
5,Rubble_Dom,0.4540096766664961,2.3448051814053863,14.665160809858525,1.0575377832044703,2.9667510752381268,0.21131853599704056,1.0424400073218316
6,Coral_Dom,0.39839046696657626,2.152393662905732,9.317489220345866,0.9203102737933382,2.5083734876062844,0.26680915336296457,0.3218269623092251
7,Coral_Dom,0.7587617900557839,2.8971590398226494,17.920040749805572,1.2102530297404634,3.4053940766027133,0.20089535658296265,0.4342322402878755
8,Control,0.5214777106269503,2.9784911177442,9.591900977910743,1.1295321210282387,2.6971905672180188,-0.22109143421866645,-0.02199722013113503
9,Coral_Dom,0.4641988599993065,2.638790288457069,16.755046200480663,1.145938920718311,3.366554741118601,0.21834416788873973,0.7591568793196554
10,Rubble_Dom,0.35293884874969705,2.183941197399683,6.858630058235628,1.032989141430305,3.4616668967594038,0.901525289645334,1.7581908027459858
11,Control,0.43326527045742447,2.5086710826348764,9.403957916798117,0.9114735220234468,2.3930200082109145,-0.06388764039985172,0.02293832848437495
12,Rubble_Dom,0.583580523530413,3.38834990978623,12.648768801293285,1.334069475635608,3.173655984290844,0.5854084028601474,1.3231509584418375
13,Algae_Dom,0.602982518079612,2.7648079543812796,10.056443136593298,1.1046917754660566,3.346764631830309,-0.1832296273364459,1.235317391609184
14,Algae_Dom,0.5501471882499158,2.590866944247569,11.18790340954083,1.45275280858579,3.7423701511455065,-0.17164517101689158,0.7397980044825219
15,Control,0.4524332944541971,1.7527860400242485,5.908499521952342,1.1491074438206055,4.291107639841055,0.01861002168394894,0.43089995504325207
16,Coral_Dom,0.5303022808225801,1.8948200700177953,9.149462050444637,1.0468885523701552,3.0253869610617126,0.6822476354755567,1.3188676101833692
